 Index      X       Y     Cluster  
     148    6.450   2.154     1.000
     149    6.406   2.315     1.000
     150    5.586   1.720     1.000
     151    6.374   2.305     1.000
     152    5.990   2.059     1.000
     153    6.639   1.704     1.000
     154    6.274   1.899     1.000
     155    5.891   2.549     1.000
     156    6.413   2.407     1.000
     157    6.653   2.011     1.000
     158    6.341   1.845     1.000
     159    6.162   1.935     1.000
     160    6.048   2.298     1.000
     161    5.591   3.046     1.000
     162    5.497   1.393     1.000
     163    6.579   2.396     1.000
     164    6.312   2.314     1.000
     165    5.994   1.551     1.000
     166    6.038   1.661     1.000
     167    6.488   1.926     1.000
     168    5.587   1.839     1.000
     169    6.206   1.718     1.000
     170    5.589   2.122     1.000
     171    6.122   1.747     1.000
     172    5.764   2.116     1.000
     173    5.276   1.296     1.000
     174    5.641   1.893     1.000
     175    6.155   2.738     1.000
     176    6.429   1.920     1.000
     177    5.990   1.499     1.000
     178    5.991   1.856     1.000
     179    6.161   1.586     1.000
     180    6.260   2.766     1.000
     181    5.946   2.201     1.000
     182    6.345   1.799     1.000
     183    6.112   2.006     1.000
     184    6.049   1.613     1.000
     185    6.012   2.249     1.000
     186    6.726   2.480     1.000
     187    7.077   1.616     1.000
     188    6.436   2.092     1.000
     189    7.095   1.596     1.000
     190    5.580   1.700     1.000
     191    4.938   1.737     1.000
     192    5.620   2.075     1.000
     193    6.171   2.938     1.000
     194    6.475   1.712     1.000
     195    5.551   2.246     1.000
     196    5.340   2.916     1.000
     197    6.590   1.765     1.000
     198    5.143   2.677     1.000
     199    5.943   2.619     1.000
     200    3.203   4.700     2.000
     201    4.003   5.023     2.000
     202    3.775   5.311     2.000
     203    3.466   4.929     2.000
     204    4.060   5.257     2.000
     205    4.356   4.438     2.000
     206    3.233   5.639     2.000
     207    4.166   4.626     2.000
     208    4.776   5.058     2.000
     209    4.590   5.034     2.000
     210    5.030   5.878     2.000
     211    3.876   5.486     2.000
     212    4.323   5.684     2.000
     213    3.518   5.343     2.000
     214    4.529   4.121     2.000
     215    3.408   3.980     2.000
     216    3.865   5.359     2.000
     217    4.751   5.037     2.000
     218    4.814   4.310     2.000
     219    3.148   4.972     2.000
     220    4.192   4.984     2.000
     221    2.966   4.955     2.000
     222    3.348   5.335     2.000
     223    4.183   4.530     2.000
     224    3.743   4.470     2.000
     225    3.969   5.478     2.000
     226    3.507   5.252     2.000
     227    3.735   4.604     2.000
     228    3.946   4.482     2.000
     229    3.723   4.401     2.000
     230    4.982   5.018     2.000
     231    3.650   5.107     2.000
     232    3.944   4.890     2.000
     233    4.307   5.379     2.000
     234    3.735   4.712     2.000
     235    3.862   3.849     2.000
     236    3.242   5.683     2.000
     237    4.822   4.875     2.000
     238    4.288   5.156     2.000
     239    5.539   5.560     2.000
     240    3.936   4.522     2.000
     241    3.197   5.102     2.000
     242    3.622   4.289     2.000
     243    3.677   4.459     2.000
     244    4.844   5.441     2.000
     245    3.996   5.740     2.000
     246    4.039   4.569     2.000
     247    4.762   5.269     2.000
     248    3.481   4.905     2.000
     249    3.562   4.309     2.000
     250    4.463   5.955     2.000
     251    3.301   5.281     2.000
     252    3.675   4.756     2.000
     253    3.704   4.568     2.000
     254    4.024   4.585     2.000
     255    4.135   4.975     2.000
     256    3.881   4.546     2.000
     257    3.712   5.378     2.000
     258    4.250   4.511     2.000
     259    4.050   5.376     2.000
     260    3.165   5.272     2.000
     261    3.669   5.285     2.000
     262    3.618   4.098     2.000
     263    3.186   5.024     2.000
     264    4.130   4.548     2.000
     265    4.319   4.169     2.000
     266    3.967   4.394     2.000
     267    3.674   5.024     2.000
     268    3.570   4.808     2.000
     269    4.503   4.712     2.000
     270    4.418   4.435     2.000
     271    4.265   5.721     2.000
     272    2.764   4.602     2.000
     273    4.289   4.898     2.000
     274    4.186   4.698     2.000
     275    4.043   4.922     2.000
     276    4.584   5.127     2.000
     277    4.169   4.794     2.000
     278    3.756   4.784     2.000
     279    4.197   4.790     2.000
     280    4.145   6.038     2.000
     281    4.436   4.837     2.000
     282    4.601   4.796     2.000
     283    2.981   4.496     2.000
     284    3.065   4.824     2.000
     285    4.009   5.838     2.000
     286    4.163   4.890     2.000
     287    4.415   3.894     2.000
     288    4.118   5.385     2.000
     289    3.261   5.572     2.000
     290    4.169   4.792     2.000
     291    4.316   6.135     2.000
     292    4.091   5.124     2.000
     293    3.770   4.575     2.000
     294    4.415   4.572     2.000
     295    4.036   4.761     2.000
     296    4.239   5.167     2.000
     297    4.519   4.745     2.000
     298    3.865   4.511     2.000
     299    3.778   5.189     2.000
