 Index      X        Y     Cluster  
      87   -1.528   -3.586     0.000
      88   -1.660   -3.273     0.000
      89   -1.799   -2.640     0.000
      90   -1.354   -4.429     0.000
      91   -2.202   -3.759     0.000
      92   -1.778   -3.643     0.000
      93   -1.430   -4.036     0.000
      94   -2.090   -4.757     0.000
      95   -1.890   -3.572     0.000
      96   -1.560   -4.623     0.000
      97   -1.580   -3.807     0.000
      98   -2.109   -3.923     0.000
      99   -1.638   -4.571     0.000
     100    7.512    5.280     1.000
     101    7.875    5.527     1.000
     102    6.644    4.531     1.000
     103    7.591    5.257     1.000
     104    7.591    6.926     1.000
     105    7.619    5.568     1.000
     106    7.810    5.326     1.000
     107    7.176    5.379     1.000
     108    6.947    4.882     1.000
     109    7.091    5.041     1.000
     110    8.491    4.066     1.000
     111    7.676    4.194     1.000
     112    7.097    5.544     1.000
     113    7.365    4.461     1.000
     114    6.976    5.340     1.000
     115    6.968    5.108     1.000
     116    7.356    4.674     1.000
     117    8.405    5.317     1.000
     118    6.321    5.093     1.000
     119    7.002    5.426     1.000
     120    6.937    4.943     1.000
     121    7.586    5.433     1.000
     122    6.733    4.833     1.000
     123    7.096    4.673     1.000
     124    8.216    5.202     1.000
     125    6.703    5.459     1.000
     126    8.394    5.516     1.000
     127    6.574    4.758     1.000
     128    7.967    4.646     1.000
     129    7.555    5.387     1.000
     130    6.870    4.970     1.000
     131    5.713    4.488     1.000
     132    7.207    4.376     1.000
     133    8.150    4.285     1.000
     134    7.113    5.065     1.000
     135    8.054    4.282     1.000
     136    7.915    5.005     1.000
     137    6.843    5.231     1.000
     138    7.433    4.700     1.000
     139    7.368    4.807     1.000
     140    7.390    5.331     1.000
     141    8.126    4.381     1.000
     142    8.400    4.024     1.000
     143    7.257    5.294     1.000
     144    7.474    4.689     1.000
     145    7.229    4.753     1.000
     146    7.039    5.425     1.000
     147    7.512    4.654     1.000
     148    7.783    5.154     1.000
     149    7.740    5.315     1.000
     150    6.919    4.720     1.000
     151    7.707    5.305     1.000
     152    7.323    5.059     1.000
     153    7.972    4.704     1.000
     154    7.607    4.899     1.000
     155    7.224    5.549     1.000
     156    7.746    5.407     1.000
     157    7.986    5.011     1.000
     158    7.674    4.845     1.000
     159    7.495    4.935     1.000
     160    7.382    5.298     1.000
     161    6.924    6.046     1.000
     162    6.830    4.393     1.000
     163    7.912    5.396     1.000
     164    7.645    5.314     1.000
     165    7.327    4.551     1.000
     166    7.371    4.661     1.000
     167    7.821    4.926     1.000
     168    6.921    4.839     1.000
     169    7.540    4.718     1.000
     170    6.922    5.122     1.000
     171    7.456    4.747     1.000
     172    7.098    5.116     1.000
     173    6.609    4.296     1.000
     174    6.974    4.893     1.000
     175    7.489    5.738     1.000
     176    7.762    4.920     1.000
     177    7.324    4.499     1.000
     178    7.324    4.856     1.000
     179    7.495    4.586     1.000
     180    7.593    5.766     1.000
     181    7.279    5.201     1.000
     182    7.678    4.799     1.000
     183    7.445    5.006     1.000
     184    7.382    4.613     1.000
     185    7.346    5.249     1.000
     186    8.059    5.480     1.000
     187    8.410    4.616     1.000
     188    7.769    5.092     1.000
     189    8.428    4.596     1.000
     190    6.913    4.700     1.000
     191    6.271    4.737     1.000
     192    6.954    5.075     1.000
     193    7.504    5.938     1.000
     194    7.809    4.712     1.000
     195    6.884    5.246     1.000
     196    6.673    5.916     1.000
     197    7.923    4.765     1.000
     198    6.477    5.677     1.000
     199    7.276    5.619     1.000
     200    0.536   13.700     2.000
     201    1.336   14.023     2.000
     202    1.108   14.311     2.000
     203    0.800   13.929     2.000
     204    1.393   14.257     2.000
     205    1.689   13.438     2.000
     206    0.566   14.639     2.000
     207    1.499   13.626     2.000
     208    2.109   14.058     2.000
     209    1.923   14.034     2.000
     210    2.364   14.878     2.000
     211    1.209   14.486     2.000
     212    1.656   14.684     2.000
     213    0.851   14.343     2.000
     214    1.863   13.121     2.000
     215    0.742   12.980     2.000
     216    1.199   14.359     2.000
     217    2.085   14.037     2.000
     218    2.148   13.310     2.000
     219    0.482   13.972     2.000
     220    1.525   13.984     2.000
     221    0.300   13.955     2.000
     222    0.681   14.335     2.000
     223    1.517   13.530     2.000
     224    1.076   13.470     2.000
     225    1.302   14.478     2.000
     226    0.840   14.252     2.000
     227    1.068   13.604     2.000
     228    1.280   13.482     2.000
     229    1.057   13.401     2.000
     230    2.316   14.018     2.000
     231    0.983   14.107     2.000
     232    1.277   13.890     2.000
     233    1.640   14.379     2.000
     234    1.068   13.712     2.000
     235    1.196   12.849     2.000
     236    0.576   14.683     2.000
     237    2.156   13.875     2.000
     238    1.622   14.156     2.000
     239    2.873   14.560     2.000
     240    1.269   13.522     2.000
     241    0.530   14.102     2.000
     242    0.955   13.289     2.000
     243    1.010   13.459     2.000
     244    2.177   14.441     2.000
     245    1.329   14.740     2.000
     246    1.372   13.569     2.000
     247    2.095   14.269     2.000
     248    0.815   13.905     2.000
     249    0.896   13.309     2.000
     250    1.796   14.955     2.000
     251    0.634   14.281     2.000
     252    1.008   13.756     2.000
     253    1.037   13.568     2.000
     254    1.358   13.585     2.000
     255    1.469   13.975     2.000
     256    1.214   13.546     2.000
     257    1.045   14.378     2.000
     258    1.584   13.511     2.000
     259    1.383   14.376     2.000
     260    0.499   14.272     2.000
     261    1.002   14.285     2.000
     262    0.952   13.098     2.000
     263    0.520   14.024     2.000
     264    1.463   13.548     2.000
     265    1.653   13.169     2.000
     266    1.300   13.394     2.000
     267    1.007   14.024     2.000
     268    0.903   13.808     2.000
     269    1.836   13.712     2.000
     270    1.751   13.435     2.000
     271    1.598   14.721     2.000
     272    0.098   13.602     2.000
     273    1.622   13.898     2.000
     274    1.519   13.698     2.000
     275    1.377   13.922     2.000
     276    1.917   14.127     2.000
     277    1.502   13.794     2.000
     278    1.090   13.784     2.000
     279    1.531   13.790     2.000
     280    1.478   15.038     2.000
     281    1.769   13.837     2.000
     282    1.934   13.796     2.000
     283    0.314   13.496     2.000
     284    0.398   13.824     2.000
     285    1.343   14.838     2.000
     286    1.497   13.890     2.000
     287    1.748   12.894     2.000
     288    1.451   14.385     2.000
     289    0.594   14.572     2.000
     290    1.503   13.792     2.000
     291    1.650   15.135     2.000
     292    1.424   14.124     2.000
     293    1.104   13.575     2.000
     294    1.749   13.572     2.000
     295    1.369   13.761     2.000
     296    1.573   14.167     2.000
     297    1.852   13.745     2.000
     298    1.198   13.511     2.000
     299    1.111   14.189     2.000
